episode,patient_type,risk_label,action,patient_replied,reward
57,early_dropout,Medium,evening_reminder,False,-0.5
58,erratic,Low,evening_reminder,True,1.0
59,early_dropout,Low,evening_reminder,False,-0.5
60,early_dropout,Low,evening_reminder,False,-0.5
61,adherent,Low,evening_reminder,True,1.0
62,adherent,Low,evening_reminder,False,-0.5
63,recoverer,Low,evening_reminder,False,-0.5
64,erratic,High,evening_reminder,False,-0.5
65,recoverer,Low,evening_reminder,False,-0.5
66,adherent,Low,evening_reminder,True,1.0
67,recoverer,Low,evening_reminder,True,1.0
68,early_dropout,Low,evening_reminder,True,1.0
69,erratic,Low,evening_reminder,False,-0.5
70,adherent,Low,evening_reminder,True,1.0
71,recoverer,Low,evening_reminder,True,1.0
72,adherent,Low,evening_reminder,True,1.0
73,adherent,Low,evening_reminder,True,1.0
74,adherent,Low,evening_reminder,True,1.0
75,recoverer,Low,evening_reminder,False,-0.5
76,early_dropout,Low,evening_reminder,False,-0.5
77,erratic,Low,evening_reminder,True,1.0
78,early_dropout,Low,evening_reminder,True,1.0
79,early_dropout,Low,evening_reminder,False,-0.5
80,early_dropout,Low,evening_reminder,False,-0.5
81,recoverer,Low,evening_reminder,False,-0.5
82,adherent,Low,evening_reminder,True,1.0
83,adherent,Low,evening_reminder,True,1.0
84,erratic,Low,evening_reminder,False,-0.5
85,early_dropout,Low,evening_reminder,False,-0.5
86,erratic,Low,evening_reminder,True,1.0
87,adherent,Low,evening_reminder,True,1.0
88,adherent,Low,evening_reminder,True,1.0
89,early_dropout,Low,evening_reminder,False,-0.5
90,adherent,Low,evening_reminder,True,1.0
91,recoverer,Low,evening_reminder,True,1.0
92,recoverer,Medium,evening_reminder,False,-0.5
93,recoverer,Medium,evening_reminder,False,-0.5
94,early_dropout,Low,evening_reminder,False,-0.5
95,erratic,Medium,evening_reminder,True,1.0
96,early_dropout,Low,evening_reminder,True,1.0
97,erratic,High,evening_reminder,False,-0.5
98,erratic,Low,evening_reminder,True,1.0
99,recoverer,Low,evening_reminder,True,1.0
100,early_dropout,Low,evening_reminder,False,-0.5
101,early_dropout,Medium,evening_reminder,False,-0.5
102,erratic,Low,escalate_to_doctor,True,-1.0
103,erratic,Low,evening_reminder,True,1.0
104,early_dropout,Low,evening_reminder,True,1.0
105,early_dropout,Low,evening_reminder,False,-0.5
106,erratic,Low,evening_reminder,False,-0.5
107,erratic,Medium,evening_reminder,True,1.0
108,early_dropout,Low,evening_reminder,False,-0.5
109,recoverer,Low,evening_reminder,True,1.0
110,erratic,Low,do_nothing,True,0.0
111,early_dropout,High,evening_reminder,False,-0.5
112,adherent,Low,evening_reminder,True,1.0
113,adherent,Low,evening_reminder,True,1.0
114,erratic,Low,evening_reminder,True,1.0
115,early_dropout,Low,evening_reminder,False,-0.5
116,early_dropout,Low,evening_reminder,False,-0.5
117,early_dropout,Low,evening_reminder,False,-0.5
118,adherent,Low,evening_reminder,True,1.0
119,adherent,Low,evening_reminder,True,1.0
120,adherent,Low,evening_reminder,True,1.0
121,early_dropout,Low,evening_reminder,False,-0.5
122,early_dropout,Low,evening_reminder,False,-0.5
123,adherent,Low,evening_reminder,True,1.0
124,erratic,Low,evening_reminder,True,1.0
125,erratic,High,evening_reminder,True,1.0
126,adherent,Low,evening_reminder,True,1.0
127,adherent,Low,evening_reminder,True,1.0
128,adherent,Low,evening_reminder,True,1.0
129,erratic,High,evening_reminder,False,-0.5
130,erratic,Low,evening_reminder,True,1.0
131,erratic,Low,evening_reminder,True,1.0
132,recoverer,Low,evening_reminder,False,-0.5
133,adherent,Low,evening_reminder,True,1.0
134,adherent,Low,evening_reminder,True,1.0
135,early_dropout,Medium,evening_reminder,False,-0.5
136,adherent,Low,evening_reminder,True,1.0
137,adherent,Low,evening_reminder,True,1.0
138,erratic,High,evening_reminder,False,-0.5
139,erratic,Low,evening_reminder,True,1.0
140,erratic,Low,evening_reminder,True,1.0
141,early_dropout,Low,evening_reminder,True,1.0
142,adherent,Low,evening_reminder,True,1.0
143,adherent,Low,evening_reminder,True,1.0
144,recoverer,Low,evening_reminder,True,1.0
145,recoverer,Low,evening_reminder,False,-0.5
146,recoverer,Low,evening_reminder,False,-0.5
147,erratic,High,evening_reminder,False,-0.5
148,recoverer,Low,evening_reminder,True,1.0
149,early_dropout,Low,evening_reminder,False,-0.5
150,early_dropout,Low,evening_reminder,False,-0.5
151,erratic,Medium,evening_reminder,True,1.0
152,adherent,Low,evening_reminder,True,1.0
153,early_dropout,Medium,evening_reminder,False,-0.5
154,recoverer,Low,evening_reminder,True,1.0
155,erratic,Low,evening_reminder,False,-0.5
156,adherent,Low,evening_reminder,False,-0.5
157,early_dropout,Low,evening_reminder,True,1.0
158,erratic,Low,evening_reminder,True,1.0
159,erratic,Low,evening_reminder,True,1.0
160,adherent,Low,evening_reminder,True,1.0
161,adherent,Low,evening_reminder,True,1.0
162,recoverer,Low,evening_reminder,False,-0.5
163,early_dropout,Low,evening_reminder,True,1.0
164,adherent,Low,evening_reminder,False,-0.5
165,adherent,Low,evening_reminder,True,1.0
166,adherent,Low,evening_reminder,False,-0.5
167,erratic,Low,evening_reminder,True,1.0
168,erratic,Medium,evening_reminder,True,1.0
169,early_dropout,Low,evening_reminder,False,-0.5
170,adherent,Low,evening_reminder,True,1.0
171,adherent,Low,evening_reminder,True,1.0
172,recoverer,High,evening_reminder,True,1.0
173,early_dropout,Low,evening_reminder,False,-0.5
174,early_dropout,Medium,evening_reminder,True,1.0
175,erratic,Low,evening_reminder,True,1.0
176,recoverer,Low,evening_reminder,True,1.0
177,adherent,Low,evening_reminder,True,1.0
178,adherent,Low,evening_reminder,True,1.0
179,early_dropout,Low,evening_reminder,False,-0.5
180,recoverer,Low,evening_reminder,False,-0.5
181,recoverer,High,evening_reminder,False,-0.5
182,recoverer,Low,do_nothing,True,0.0
183,early_dropout,Low,evening_reminder,False,-0.5
184,recoverer,Medium,evening_reminder,True,1.0
185,early_dropout,Medium,evening_reminder,False,-0.5
186,early_dropout,Low,evening_reminder,False,-0.5
187,erratic,Medium,evening_reminder,False,-0.5
188,recoverer,Low,do_nothing,False,0.0
189,recoverer,Low,evening_reminder,False,-0.5
190,recoverer,Low,do_nothing,False,0.0
191,early_dropout,Low,do_nothing,False,0.0
192,early_dropout,Low,do_nothing,False,0.0
193,recoverer,Low,do_nothing,True,0.0
194,erratic,Low,do_nothing,True,0.0
195,early_dropout,Low,do_nothing,False,0.0
196,adherent,Low,evening_reminder,False,-0.5
197,early_dropout,Low,evening_reminder,False,-0.5
198,early_dropout,High,do_nothing,False,0.0
199,erratic,Low,do_nothing,False,0.0
200,erratic,High,do_nothing,True,0.0
201,erratic,Low,do_nothing,False,0.0
202,adherent,Low,evening_reminder,True,1.0
203,adherent,Low,evening_reminder,True,1.0
204,adherent,Low,evening_reminder,True,1.0
205,erratic,Low,do_nothing,True,0.0
206,erratic,Medium,evening_reminder,True,1.0
207,erratic,Low,do_nothing,False,0.0
208,adherent,Low,evening_reminder,True,1.0
209,adherent,Low,evening_reminder,True,1.0
210,recoverer,Low,do_nothing,True,0.0
211,erratic,Low,evening_reminder,True,1.0
212,erratic,Low,evening_reminder,False,-0.5
213,early_dropout,Low,evening_reminder,False,-0.5
214,adherent,Low,evening_reminder,True,1.0
215,erratic,High,evening_reminder,True,1.0
216,early_dropout,Low,evening_reminder,False,-0.5
217,early_dropout,Low,evening_reminder,False,-0.5
218,adherent,Low,evening_reminder,True,1.0
219,erratic,Low,evening_reminder,True,1.0
220,early_dropout,Low,evening_reminder,False,-0.5
221,erratic,Low,evening_reminder,False,-0.5
222,erratic,Low,evening_reminder,True,1.0
223,adherent,Low,evening_reminder,True,1.0
224,recoverer,Low,evening_reminder,False,-0.5
225,erratic,Low,evening_reminder,True,1.0
226,erratic,Low,evening_reminder,True,1.0
227,early_dropout,Low,evening_reminder,False,-0.5
228,early_dropout,High,evening_reminder,False,-0.5
229,adherent,Low,evening_reminder,True,1.0
230,erratic,Low,evening_reminder,True,1.0
231,erratic,Low,evening_reminder,True,1.0
232,adherent,Low,evening_reminder,True,1.0
233,recoverer,Low,evening_reminder,True,1.0
234,adherent,Low,evening_reminder,True,1.0
235,erratic,Medium,evening_reminder,True,1.0
236,early_dropout,Low,evening_reminder,True,1.0
237,erratic,Low,evening_reminder,True,1.0
238,early_dropout,Low,evening_reminder,False,-0.5
239,recoverer,Low,evening_reminder,True,1.0
240,early_dropout,Low,evening_reminder,True,1.0
241,adherent,Low,evening_reminder,True,1.0
242,adherent,Low,evening_reminder,True,1.0
243,adherent,Low,evening_reminder,True,1.0
244,early_dropout,Low,evening_reminder,False,-0.5
245,adherent,Low,evening_reminder,True,1.0
246,early_dropout,Low,evening_reminder,False,-0.5
247,early_dropout,High,evening_reminder,False,-0.5
248,recoverer,Low,evening_reminder,True,1.0
249,adherent,Low,evening_reminder,True,1.0
250,adherent,Low,evening_reminder,True,1.0
251,adherent,Low,evening_reminder,True,1.0
252,erratic,High,evening_reminder,True,1.0
253,adherent,High,evening_reminder,True,1.0
254,adherent,Low,evening_reminder,False,-0.5
255,erratic,Low,evening_reminder,False,-0.5
256,early_dropout,Low,evening_reminder,True,1.0
257,adherent,Low,evening_reminder,True,1.0
258,adherent,Low,evening_reminder,True,1.0
259,early_dropout,Low,evening_reminder,False,-0.5
260,adherent,Low,evening_reminder,False,-0.5
261,early_dropout,Low,evening_reminder,False,-0.5
262,early_dropout,Low,evening_reminder,True,1.0
263,adherent,Low,evening_reminder,True,1.0
264,erratic,Low,evening_reminder,True,1.0
265,erratic,Medium,evening_reminder,False,-0.5
266,early_dropout,Low,evening_reminder,False,-0.5
267,erratic,Low,evening_reminder,True,1.0
268,adherent,Low,evening_reminder,True,1.0
269,erratic,Low,evening_reminder,True,1.0
270,early_dropout,Low,evening_reminder,False,-0.5
271,early_dropout,Low,do_nothing,False,0.0
272,recoverer,Low,evening_reminder,True,1.0
273,early_dropout,Low,evening_reminder,False,-0.5
274,adherent,Low,evening_reminder,True,1.0
275,erratic,Low,evening_reminder,True,1.0
276,recoverer,Low,evening_reminder,True,1.0
277,adherent,Low,evening_reminder,True,1.0
278,recoverer,Low,evening_reminder,True,1.0
279,early_dropout,Low,evening_reminder,True,1.0
280,adherent,Low,evening_reminder,True,1.0
281,erratic,Low,evening_reminder,True,1.0
282,adherent,Low,evening_reminder,True,1.0
283,recoverer,Low,evening_reminder,False,-0.5
284,recoverer,Low,evening_reminder,True,1.0
285,early_dropout,Low,evening_reminder,True,1.0
286,recoverer,High,evening_reminder,False,-0.5
287,recoverer,Low,evening_reminder,True,1.0
288,early_dropout,Low,evening_reminder,True,1.0
289,recoverer,Low,evening_reminder,True,1.0
290,recoverer,Low,evening_reminder,False,-0.5
291,adherent,Low,evening_reminder,True,1.0
292,recoverer,Low,evening_reminder,True,1.0
293,erratic,Low,evening_reminder,True,1.0
294,early_dropout,Low,evening_reminder,False,-0.5
295,adherent,Low,evening_reminder,True,1.0
296,adherent,Low,evening_reminder,True,1.0
297,early_dropout,Low,evening_reminder,False,-0.5
298,erratic,Low,evening_reminder,True,1.0
299,erratic,Low,evening_reminder,True,1.0
300,erratic,Medium,evening_reminder,True,1.0
301,erratic,Low,evening_reminder,True,1.0
302,erratic,High,evening_reminder,True,1.0
303,early_dropout,Low,evening_reminder,True,1.0
304,erratic,Medium,evening_reminder,False,-0.5
305,adherent,Low,evening_reminder,True,1.0
306,early_dropout,Medium,evening_reminder,True,1.0
307,adherent,Low,evening_reminder,True,1.0
308,recoverer,Low,evening_reminder,True,1.0
309,adherent,Low,evening_reminder,True,1.0
310,erratic,Low,evening_reminder,False,-0.5
311,erratic,Low,evening_reminder,True,1.0
312,early_dropout,Low,evening_reminder,False,-0.5
313,early_dropout,High,evening_reminder,False,-0.5
314,erratic,Low,evening_reminder,True,1.0
315,erratic,Medium,evening_reminder,True,1.0
316,early_dropout,Low,evening_reminder,True,1.0
317,recoverer,Low,evening_reminder,True,1.0
318,early_dropout,Low,evening_reminder,False,-0.5
319,recoverer,Medium,evening_reminder,False,-0.5
320,adherent,Low,evening_reminder,True,1.0
321,recoverer,Low,evening_reminder,True,1.0
322,early_dropout,Low,evening_reminder,False,-0.5
323,recoverer,Low,evening_reminder,False,-0.5
324,early_dropout,Low,evening_reminder,False,-0.5
325,early_dropout,Low,evening_reminder,False,-0.5
326,adherent,Low,evening_reminder,True,1.0
327,adherent,Low,evening_reminder,True,1.0
328,erratic,Low,evening_reminder,True,1.0
329,early_dropout,Low,evening_reminder,False,-0.5
330,erratic,Low,evening_reminder,False,-0.5
331,recoverer,Low,evening_reminder,True,1.0
332,adherent,Low,evening_reminder,True,1.0
333,early_dropout,Low,evening_reminder,False,-0.5
334,erratic,Low,evening_reminder,True,1.0
335,early_dropout,Low,evening_reminder,True,1.0
336,early_dropout,High,evening_reminder,True,1.0
337,adherent,Low,evening_reminder,True,1.0
338,early_dropout,High,evening_reminder,False,-0.5
339,adherent,Low,evening_reminder,True,1.0
340,erratic,Low,evening_reminder,True,1.0
341,early_dropout,Medium,evening_reminder,False,-0.5
342,early_dropout,Low,evening_reminder,True,1.0
343,adherent,Low,evening_reminder,True,1.0
344,early_dropout,Low,evening_reminder,False,-0.5
345,recoverer,High,evening_reminder,True,1.0
346,erratic,Low,evening_reminder,True,1.0
347,recoverer,Low,evening_reminder,False,-0.5
348,adherent,Low,evening_reminder,True,1.0
349,adherent,Low,evening_reminder,True,1.0
350,early_dropout,Low,evening_reminder,False,-0.5
351,early_dropout,High,evening_reminder,True,1.0
352,recoverer,Medium,evening_reminder,False,-0.5
353,early_dropout,Low,evening_reminder,False,-0.5
354,adherent,Low,evening_reminder,True,1.0
355,recoverer,High,evening_reminder,True,1.0
356,erratic,High,evening_reminder,True,1.0
357,early_dropout,Low,evening_reminder,True,1.0
358,early_dropout,Medium,evening_reminder,False,-0.5
359,early_dropout,Low,evening_reminder,True,1.0
360,adherent,Low,evening_reminder,False,-0.5
361,adherent,Low,evening_reminder,True,1.0
362,early_dropout,Medium,evening_reminder,False,-0.5
363,erratic,High,evening_reminder,True,1.0
364,recoverer,Low,evening_reminder,False,-0.5
365,early_dropout,Low,evening_reminder,False,-0.5
366,recoverer,Low,evening_reminder,True,1.0
367,erratic,Low,evening_reminder,True,1.0
368,early_dropout,Low,evening_reminder,False,-0.5
369,erratic,Low,evening_reminder,True,1.0
370,early_dropout,Low,evening_reminder,False,-0.5
371,adherent,Low,evening_reminder,True,1.0
372,early_dropout,High,evening_reminder,False,-0.5
373,adherent,Low,evening_reminder,True,1.0
374,early_dropout,Medium,evening_reminder,False,-0.5
375,erratic,Low,evening_reminder,True,1.0
376,recoverer,High,evening_reminder,True,1.0
377,early_dropout,Low,evening_reminder,False,-0.5
378,early_dropout,Low,evening_reminder,False,-0.5
379,erratic,Medium,evening_reminder,False,-0.5
380,adherent,Low,evening_reminder,True,1.0
381,adherent,Low,evening_reminder,True,1.0
382,adherent,Low,evening_reminder,True,1.0
383,adherent,Low,evening_reminder,True,1.0
384,early_dropout,High,evening_reminder,False,-0.5
385,adherent,Low,evening_reminder,True,1.0
386,adherent,Low,evening_reminder,True,1.0
387,erratic,Low,evening_reminder,False,-0.5
388,adherent,Low,evening_reminder,True,1.0
389,recoverer,Low,evening_reminder,True,1.0
390,early_dropout,Low,evening_reminder,False,-0.5
391,recoverer,Low,evening_reminder,True,1.0
392,erratic,Low,evening_reminder,False,-0.5
393,adherent,Low,evening_reminder,True,1.0
394,early_dropout,Low,evening_reminder,False,-0.5
395,recoverer,Low,evening_reminder,True,1.0
396,adherent,Low,evening_reminder,True,1.0
397,early_dropout,Medium,evening_reminder,False,-0.5
398,early_dropout,Low,evening_reminder,True,1.0
399,early_dropout,Low,evening_reminder,True,1.0
400,adherent,Low,evening_reminder,True,1.0
401,erratic,Low,evening_reminder,True,1.0
402,early_dropout,Low,evening_reminder,False,-0.5
403,early_dropout,Low,evening_reminder,False,-0.5
404,erratic,Low,evening_reminder,True,1.0
405,erratic,Low,evening_reminder,True,1.0
406,recoverer,Medium,evening_reminder,False,-0.5
407,early_dropout,Low,evening_reminder,True,1.0
408,adherent,Low,evening_reminder,True,1.0
409,adherent,Low,evening_reminder,True,1.0
410,adherent,Low,evening_reminder,True,1.0
411,early_dropout,Low,evening_reminder,True,1.0
412,adherent,Low,evening_reminder,True,1.0
413,early_dropout,Low,evening_reminder,False,-0.5
414,erratic,Low,evening_reminder,True,1.0
415,erratic,High,evening_reminder,True,1.0
416,early_dropout,Medium,evening_reminder,False,-0.5
417,early_dropout,Low,evening_reminder,True,1.0
418,early_dropout,Medium,evening_reminder,False,-0.5
419,adherent,Low,evening_reminder,True,1.0
420,recoverer,Low,evening_reminder,False,-0.5
421,adherent,Low,evening_reminder,True,1.0
422,recoverer,Low,evening_reminder,True,1.0
423,erratic,Low,evening_reminder,True,1.0
424,early_dropout,Low,evening_reminder,False,-0.5
425,adherent,Low,evening_reminder,True,1.0
426,early_dropout,Low,evening_reminder,False,-0.5
427,early_dropout,Low,evening_reminder,False,-0.5
428,recoverer,Low,evening_reminder,False,-0.5
429,adherent,Low,evening_reminder,True,1.0
430,early_dropout,Low,evening_reminder,False,-0.5
431,erratic,Low,evening_reminder,False,-0.5
432,early_dropout,High,evening_reminder,True,1.0
433,early_dropout,Low,do_nothing,False,0.0
434,erratic,Low,evening_reminder,True,1.0
435,early_dropout,Low,do_nothing,True,0.0
436,early_dropout,Low,evening_reminder,True,1.0
437,early_dropout,Low,evening_reminder,True,1.0
438,erratic,Low,evening_reminder,True,1.0
439,adherent,Low,evening_reminder,True,1.0
440,adherent,Low,evening_reminder,True,1.0
441,erratic,Medium,evening_reminder,False,-0.5
442,adherent,Low,evening_reminder,True,1.0
443,adherent,Low,evening_reminder,True,1.0
444,recoverer,Low,evening_reminder,False,-0.5
445,adherent,Low,evening_reminder,True,1.0
446,early_dropout,Low,evening_reminder,False,-0.5
447,recoverer,Low,evening_reminder,True,1.0
448,erratic,Medium,evening_reminder,True,1.0
449,recoverer,Low,evening_reminder,True,1.0
450,recoverer,Low,evening_reminder,True,1.0
451,early_dropout,Low,evening_reminder,True,1.0
452,recoverer,Low,evening_reminder,True,1.0
453,early_dropout,Low,evening_reminder,True,1.0
454,adherent,Low,evening_reminder,True,1.0
455,adherent,Low,evening_reminder,True,1.0
456,adherent,Low,evening_reminder,False,-0.5
457,recoverer,High,evening_reminder,False,-0.5
458,adherent,Low,evening_reminder,True,1.0
459,recoverer,Medium,evening_reminder,True,1.0
460,adherent,Low,evening_reminder,True,1.0
461,erratic,Low,evening_reminder,True,1.0
462,erratic,High,evening_reminder,True,1.0
463,adherent,Low,evening_reminder,True,1.0
464,erratic,Low,evening_reminder,False,-0.5
465,adherent,Low,evening_reminder,False,-0.5
466,early_dropout,Low,evening_reminder,False,-0.5
467,erratic,Low,evening_reminder,True,1.0
468,recoverer,Low,evening_reminder,False,-0.5
469,early_dropout,Low,evening_reminder,False,-0.5
470,recoverer,Low,evening_reminder,False,-0.5
471,early_dropout,Low,evening_reminder,False,-0.5
472,erratic,Low,evening_reminder,True,1.0
473,adherent,Low,evening_reminder,True,1.0
474,early_dropout,Low,do_nothing,False,0.0
475,adherent,Low,evening_reminder,True,1.0
476,erratic,Low,evening_reminder,True,1.0
477,recoverer,Low,evening_reminder,False,-0.5
478,recoverer,Low,evening_reminder,True,1.0
479,early_dropout,Low,evening_reminder,False,-0.5
480,erratic,Low,evening_reminder,True,1.0
481,erratic,Low,evening_reminder,True,1.0
482,early_dropout,Medium,evening_reminder,False,-0.5
483,erratic,High,evening_reminder,True,1.0
484,adherent,Low,evening_reminder,True,1.0
485,recoverer,Low,evening_reminder,True,1.0
486,adherent,Low,evening_reminder,True,1.0
487,adherent,Low,evening_reminder,True,1.0
488,recoverer,Medium,evening_reminder,False,-0.5
489,early_dropout,Low,evening_reminder,True,1.0
490,early_dropout,High,evening_reminder,False,-0.5
491,recoverer,High,evening_reminder,True,1.0
492,erratic,Low,evening_reminder,True,1.0
493,adherent,Low,evening_reminder,True,1.0
494,early_dropout,Low,evening_reminder,False,-0.5
495,erratic,Low,evening_reminder,True,1.0
496,early_dropout,Low,evening_reminder,True,1.0
497,erratic,Low,evening_reminder,False,-0.5
498,early_dropout,Low,evening_reminder,True,1.0
499,early_dropout,High,evening_reminder,False,-0.5
